City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,24.09,85,100,6.69,US,1722361013
84,ribeira grande,38.5167,-28.7,25.22,73,20,8.75,PT,1722361014
85,yellowknife,62.456,-114.3525,20.29,85,20,2.57,CA,1722361015
86,wailua homesteads,22.0669,-159.378,23.75,86,100,6.69,US,1722361016
87,oban,56.4127,-5.4706,16.32,67,69,2.57,GB,1722361017
88,afaahiti,-17.75,-149.2833,20.93,76,100,13.68,PF,1722361019
89,cidreira,-30.1811,-50.2056,15.74,64,4,5.48,BR,1722361020
90,dunedin,-45.8742,170.5036,3.22,77,98,5.02,NZ,1722361021
91,stanley,54.868,-1.6985,21.01,49,0,4.12,GB,1722361022
92,suwalki,54.1118,22.9309,16.68,69,32,4.45,PL,1722361023
93,capayan,-28.761,-66.0502,20.44,27,99,1.17,AR,1722361024
94,kozhevnikovo,56.2589,83.9714,16.81,92,51,1.45,RU,1722361025
95,shiyan,32.6475,110.7781,22.98,95,100,1.6,CN,1722361026
96,kalemie,-5.9475,29.1947,23.67,35,4,1.41,CD,1722361028
97,st. john's,47.5649,-52.7093,28.97,66,75,10.29,CA,1722360996
98,port elizabeth,-33.918,25.5701,13.39,66,0,7.2,ZA,1722361030
99,kamianka,49.0318,32.104,19.51,65,65,5.41,UA,1722361032
100,ghazipur,25.5833,83.5667,34.93,50,84,1.34,IN,1722361033
101,the pas,53.8251,-101.2541,26.01,57,0,2.57,CA,1722361034
102,papatowai,-46.5619,169.4708,4.57,68,86,5.25,NZ,1722361035
103,bilibino,68.0546,166.4372,5.48,88,100,1.12,RU,1722361036
104,praya,14.9215,-23.5087,29.3,58,20,7.2,CV,1722361038
105,acapulco de juarez,16.8634,-99.8901,27.9,78,100,2.57,MX,1722360785
106,talnakh,69.4865,88.3972,19.31,46,13,2.04,RU,1722361040
107,novyy urgal,51.0736,132.5642,16.06,93,13,0.95,RU,1722361041
108,luderitz,-26.6481,15.1594,12.9,75,0,9.97,NA,1722361042
109,park city,42.3484,-87.8842,30.96,64,0,2.57,US,1722361043
110,mugia,43.1041,-9.2179,25.09,82,25,2.63,ES,1722361044
111,yujing,23.1249,120.4614,23.68,85,29,1.64,TW,1722361045
112,san mariano,7.5,126.0,22.52,96,30,0.99,PH,1722361046
113,kosonsoy,41.2561,71.5508,27.31,23,41,3.88,UZ,1722361048
114,lianhe,47.1333,129.2667,18.72,97,85,0.51,CN,1722361049
115,kibre mengist,5.8833,38.9833,16.6,92,100,1.09,ET,1722361051
116,el sauzal de rodriguez,31.9,-116.6833,19.12,74,9,3.66,MX,1722361052
117,kone,-21.0595,164.8658,18.98,80,97,1.96,NC,1722361054
118,cabedelo,-6.9811,-34.8339,29.37,78,19,7.51,BR,1722361055
119,ulverstone,-41.15,146.1667,5.75,89,34,2.2,AU,1722361056
120,pankrushikha,53.8319,80.3406,16.29,88,62,1.12,RU,1722361057
121,salalah,17.0151,54.0924,25.05,100,100,1.54,OM,1722361058
122,utrik,11.2278,169.8474,27.61,81,50,5.58,MH,1722361059
123,port moresby,-9.4431,147.1797,24.68,78,20,5.14,PG,1722361060
124,lazaro cardenas,17.9583,-102.2,26.64,88,100,4.17,MX,1722361061
125,liuhe,42.2401,125.7172,21.42,97,93,2.75,CN,1722361063
126,tura,25.5198,90.2201,25.28,92,82,2.98,IN,1722361064
127,mountain home,43.133,-115.6912,21.9,53,75,4.63,US,1722360849
128,techiman,7.5862,-1.9414,25.47,69,93,2.96,GH,1722361066
